,,Title,IP2 Regression,,,,
,,FPGA Release,version cc,,,,
,,Testbench (SVN tag),version_cc_original,,,,
,,Testbench (SVN tag location),svn://10.3.0.128/ip1x_fpga_vnv/tags/version_cc_original,,,,
,,Done by,Suresh Narayanan,,,,
,,Test start date,21-11-2014,,,,
,,Total Tests,194,,,,
,,Total Tests Passed,187,,,,
,,Total Tests Failed,7,,,,
,,Total Tests Not Complete,0,,,,
,,Total simulation time (approx),22:46:40,,,,
,,,,,,,
S.No.,Test Name, Test Status, Test Start Time, Test End Time, Test Run Time,Redmine/Jira ID,Bug Description
,,,,,,,
97,HSL/HSL001/,PASS,Sat 11/22/2014 21:55:15,Sat 11/22/2014 21:58:47,00:03:32,,
98,HSL/HSL002/,PASS,Sat 11/22/2014 21:58:47,Sat 11/22/2014 22:02:28,00:03:41,,
99,HSL/HSL003/,PASS,Sat 11/22/2014 22:02:29,Sat 11/22/2014 22:05:40,00:03:11,,
100,HSL/HSL004/,PASS,Sat 11/22/2014 22:05:40,Sat 11/22/2014 22:09:08,00:03:28,,
101,HSL/HSL005/,PASS,Sat 11/22/2014 22:09:09,Sat 11/22/2014 22:12:19,00:03:10,,
102,HSL/HSL006/,PASS,Sat 11/22/2014 22:12:19,Sat 11/22/2014 22:19:13,00:06:54,,
103,HSL/HSL007/,PASS,Sat 11/22/2014 22:19:13,Sat 11/22/2014 22:22:38,00:03:25,,
104,HSL/HSL008/,PASS,Sat 11/22/2014 22:22:38,Sat 11/22/2014 22:26:04,00:03:26,,
105,HSL/HSL009/,PASS,Sat 11/22/2014 22:26:04,Sat 11/22/2014 22:29:32,00:03:28,,
106,HSL/HSL010/,PASS,Sat 11/22/2014 22:29:32,Sat 11/22/2014 22:34:09,00:04:37,,
107,HSL/HSL011/,PASS,Sat 11/22/2014 22:34:09,Sat 11/22/2014 22:38:47,00:04:38,,
108,HSL/HSL012/,PASS,Sat 11/22/2014 22:38:47,Sat 11/22/2014 22:43:25,00:04:38,,
109,HSL/HSL013/,PASS,Sat 11/22/2014 22:43:25,Sat 11/22/2014 22:47:58,00:04:33,,
110,HSL/HSL014/,PASS,Sat 11/22/2014 22:47:58,Sat 11/22/2014 22:52:32,00:04:34,,
111,HSL/HSL015/,PASS,Sat 11/22/2014 22:52:32,Sat 11/22/2014 22:57:09,00:04:37,,
112,HSL/HSL016/,PASS,Tue 11/25/2014 11:39:38,Tue 11/25/2014 11:44:13,00:04:35,,
113,HSL/HSL017/,PASS,Sat 11/22/2014 23:01:02,Sat 11/22/2014 23:05:39,00:04:37,,
114,HSL/HSL018/,PASS,Tue 11/25/2014 10:37:34,Tue 11/25/2014 10:49:31,00:11:57,,
115,HSL/HSL019/,PASS,Sat 11/22/2014 23:17:07,Sat 11/22/2014 23:21:39,00:04:32,,
116,HSL/HSL020/,PASS,Sat 11/22/2014 23:21:39,Sat 11/22/2014 23:29:41,00:08:02,,
117,HSL/HSL021/,PASS,Sat 11/22/2014 23:29:41,Sat 11/22/2014 23:34:13,00:04:32,,
118,HSL/HSL024/,PASS,Sat 11/22/2014 23:48:38,Sat 11/22/2014 23:53:11,00:04:33,,
119,HSL/HSL026/,PASS,Sat 11/22/2014 23:53:11,Sat 11/22/2014 23:58:24,00:05:13,,
120,HSL/HSL029/,PASS,Thu 11/27/2014 16:13:04,Thu 11/27/2014 16:20:14,00:07:10,,
121,HSL/HSL030/,PASS,Thu 11/27/2014 16:23:45,Thu 11/27/2014 16:28:54,00:05:09,,
122,HSL/HSL031/,PASS,Thu 11/27/2014 17:26:41,Thu 11/27/2014 17:31:39,00:04:58,,
123,HSL/HSL036/,PASS,Sun 11/23/2014  0:24:00,Sun 11/23/2014  0:29:22,00:05:22,,
124,HSL/HSL037/,PASS,Sun 11/23/2014  0:29:22,Sun 11/23/2014  0:32:49,00:03:27,,
125,HSL/HSL038/,PASS,Sun 11/23/2014  0:32:49,Sun 11/23/2014  0:36:25,00:03:36,,
126,HSL/HSL039/,PASS,Tue 11/25/2014 10:55:28,Tue 11/25/2014 11:00:05,00:05:37,,
127,HSL/HSL040/,PASS,Tue 11/25/2014 11:00:05,Tue 11/25/2014 11:02:45,00:02:40,,
128,HSL/HSL041/,PASS,Tue 11/25/2014 11:02:45,Tue 11/25/2014 11:06:03,00:03:18,,
129,HSL/HSL042/,PASS,Mon 12/01/2014 16:22:15,Mon 12/01/2014 16:26:34,00:04:19,,
130,HSL/HSL043/,PASS,Tue 11/25/2014 11:10:41,Tue 11/25/2014 11:15:37,00:04:56,,
131,HSL/HSL044/,PASS,Tue 11/25/2014 11:15:37,Tue 11/25/2014 11:20:17,00:04:40,,
132,HSL/HSL045/,PASS, 9:12:38, 9:19:40,00:07:02,,
133,HSL/HSL046/,PASS,Mon 11/24/2014  9:19:41,Mon 11/24/2014  9:23:33,00:03:52,,
134,HSL/HSL047/,PASS,Mon 11/24/2014  9:23:33,Mon 11/24/2014  9:27:36,00:04:03,,
135,SMAP/IP2_SMAP_BcktoBckBBPlseGrtDly/,PASS,Sat 11/22/2014  0:26:22,Sat 11/22/2014  0:29:09,00:02:47,,
136,SMAP/IP2_smap_ADCDataRcvd1ClkB4HS/,PASS,Sat 11/22/2014  0:20:19,Sat 11/22/2014  0:21:31,00:01:12,,
137,SMAP/IP2_smap_ADCDataRcvdDuringHS/,PASS,Sat 11/22/2014  0:21:31,Sat 11/22/2014  0:22:38,00:01:07,,
138,SMAP/IP2_smap_BBPlseDuringHS/,PASS,Sat 11/22/2014  0:23:53,Sat 11/22/2014  0:25:07,00:01:14,,
139,SMAP/IP2_smap_Basic/,PASS,Sat 11/22/2014  0:22:38,Sat 11/22/2014  0:23:53,00:01:15,,
140,SMAP/IP2_smap_BcktoBckBBPlse/,PASS,Sat 11/22/2014  0:25:07,Sat 11/22/2014  0:26:22,00:01:15,,
141,SMAP/IP2_smap_SensortoIPCblRmvl/,PASS,Sat 11/22/2014  0:29:09,Sat 11/22/2014  0:30:25,00:01:16,,
142,SPI/SPI001/,PASS,Sat 11/22/2014 20:40:31,Sat 11/22/2014 20:41:22,00:00:51,,
143,SPI/SPI003/,PASS,Sat 11/22/2014 20:41:22,Sat 11/22/2014 20:42:15,00:00:53,,
144,SPI/SPI004/,PASS,Sat 11/22/2014 20:42:15,Sat 11/22/2014 20:43:08,00:00:53,,
145,SPI/SPI005/,PASS,Sat 11/22/2014 20:43:08,Sat 11/22/2014 20:44:19,00:01:11,,
146,SPI/SPI007/,PASS,Sat 11/22/2014 20:44:19,Sat 11/22/2014 20:45:49,00:01:30,,
147,SPI/SPI008/,PASS,Sat 11/22/2014 20:45:49,Sat 11/22/2014 20:47:21,00:01:32,,
148,SPI/SPI009/,PASS,Sat 11/22/2014 20:47:21,Sat 11/22/2014 20:48:56,00:01:35,,
149,SPI/SPI010/,PASS,Sat 11/22/2014 20:48:56,Sat 11/22/2014 20:54:03,00:05:07,,
150,SYS/IP2_sys_DBCGlckTileRdChk/,PASS,Fri 11/21/2014 22:43:02,Fri 11/21/2014 22:46:49,00:03:47,,
151,SYS/IP2_sys_DBCGlckTileWrChk/,PASS,Fri 11/21/2014 22:46:49,Fri 11/21/2014 22:50:38,00:03:49,,
152,SYS/IP2_sys_DBCMissToTile/,PASS,Fri 11/21/2014 22:50:38,Fri 11/21/2014 22:54:23,00:03:45,,
153,SYS/IP2_sys_DBCTileUpgrdChk/,PASS,Fri 11/21/2014 22:54:23,Fri 11/21/2014 23:01:32,00:07:09,,
154,SYS/IP2_sys_FrmSyncBlnkPrd/,PASS,Fri 11/21/2014 23:01:32,Fri 11/21/2014 23:06:47,00:05:15,,
155,SYS/IP2_sys_FrmSyncTileUpgrdChk/,PASS,Fri 11/21/2014 23:06:47,Fri 11/21/2014 23:11:44,00:04:57,,
156,SYS/IP2_sys_GlDBCOnOffChk/,PASS,Fri 11/21/2014 23:19:18,Fri 11/21/2014 23:24:04,00:04:46,,
157,SYS/IP2_sys_GlFrmSyncChk/,FAIL,12-01-2014 11:22,12-01-2014 11:34,00:12:05,IPTWO-542,Frequency of genlock output to tile changes whenever a frame sync packet arrives in internal vsync mode.
158,SYS/IP2_sys_GlTileUpgrdChk/,PASS,Fri 11/21/2014 23:32:43,Fri 11/21/2014 23:36:26,00:03:43,,
159,SYS/IP2_sys_GlTileWrChk/,PASS,Fri 11/21/2014 23:36:26,Fri 11/21/2014 23:40:07,00:03:41,,
160,SYS/IP2_sys_GlckTileRdAtHS/,PASS,Fri 11/21/2014 23:11:44,Fri 11/21/2014 23:15:33,00:03:49,,
161,SYS/IP2_sys_GlckTileRdB4HS/,PASS,Fri 11/21/2014 23:15:33,Fri 11/21/2014 23:19:18,00:03:45,,
162,SYS/IP2_sys_NatRstChk/,PASS,Fri 11/21/2014 23:40:07,Fri 11/21/2014 23:42:02,00:01:55,,
163,SYS/IP2_sys_SPIBurstDBCChk/,PASS,Fri 11/21/2014 23:43:47,Fri 11/21/2014 23:50:56,00:07:09,,
164,SYS/IP2_sys_SPIBurstGlTileUpgrdChk/,PASS,Fri 11/21/2014 23:50:56,Fri 11/21/2014 23:54:40,00:03:44,,
165,SYS/IP2_sys_SmapDBCChk/,PASS,Fri 11/21/2014 23:42:03,Fri 11/21/2014 23:43:47,00:01:44,,
166,SYS/IP2_sys_TIleRdMaxDlyChk/,PASS,Fri 11/21/2014 23:54:40,Fri 11/21/2014 23:58:28,00:03:48,,
167,SYS/IP2_sys_TileUpgradeGlMaxCntChk/,PASS,Fri 11/21/2014 23:58:28,Sat 11/22/2014  0:02:07,00:03:39,,
168,SYS/IP2_sys_TileWfifoOvrFlwchk/,PASS,Mon 11/24/2014 16:58:41,Mon 11/24/2014 17:21:27,00:22:46,,
169,UFY/UFY001/,PASS,Fri 11/21/2014 19:33:14,Fri 11/21/2014 19:50:23,00:17:09,,
